base_id,condition,label,hop_depth,error_type,peak_entropy,mean_entropy,early_entropy,min_confidence,mean_vocab_gap,logprob_uncertainty,hedged,hedge_count,overconfident,overconf_count,verbalized_conf,is_absurd,final_correct_clean,final_correct_error,final_degraded,prompt_len,n_tokens_gen,generated_text
planning_budget_0002,clean,0,4,,1.0234375,0.15367088718081318,0.15587261486798526,0.5,0.8828027249637744,0.07570967646801151,False,0,False,0,,False,False,False,False,125,78,"<think>
Okay, let's see. The user is asking about allocating a budget to HR. The previous step was allocating 150 to IT, which was under the max limit of 200. Now, for HR, they requested 250, but the max per department is 200. So, the question is, how much is allocated here?

"
planning_budget_0002,error_standard,1,4,constraint_violation,1.0234375,0.15367088718081318,0.15587261486798526,0.5,0.8828027249637744,0.07570967646801151,False,0,False,0,,False,False,False,False,125,78,"<think>
Okay, let's see. The user is asking about allocating a budget to HR. The previous step was allocating 150 to IT, which was under the max limit of 200. Now, for HR, they requested 250, but the max per department is 200. So, the question is, how much is allocated here?

"
planning_budget_0002,error_verbalized,1,4,constraint_violation,1.2578125,0.13060477549611363,0.08761165344621986,0.365234375,0.9021955507717072,0.06387380693536966,False,0,False,0,,False,False,False,False,190,69,"<think>
Okay, let's see. The user is asking about allocating a budget to HR. The previous step was about allocating to IT, where they requested 150, which was under the 200 max. Now, for HR, they requested 250, but the max per department is 200.

"
2hop_fractions_0039,clean,0,2,,1.21875,0.10180815654645928,0.10447962791228065,0.365234375,0.914218186262694,0.05966825630638258,False,0,False,0,,False,False,False,False,106,47,"<think>
Okay, let's see. The problem is about a biscuit that's cut into 16 equal slices. Three people each eat 2 slices. The question is asking for the fraction of the biscuit that remains.

"
2hop_fractions_0039,error_standard,1,2,wrong_percentage_base,1.1171875,0.10217066104380447,0.11046890558986888,0.412109375,0.9123285076156372,0.058326179063945896,False,0,False,0,,False,False,False,False,108,47,"<think>
Okay, let's see. The problem is about a biscuit that's cut into 16 equal slices. Three people each eat 2 slices. The question is asking for the fraction of the biscuit that remains.

"
2hop_fractions_0039,error_verbalized,1,2,wrong_percentage_base,0.9765625,0.1015897823693677,0.10611332604905659,0.5625,0.9090645385556342,0.05747629486866082,False,0,False,0,,False,False,False,False,173,44,"<think>
Okay, let's see. The problem is about a biscuit cut into 16 equal slices. Three people each eat 2 slices. We need to find the fraction of the biscuit that remains.

"
2hop_fractions_0032,clean,0,2,,1.171875,0.09849999479433791,0.13665874125549635,0.48046875,0.9265069750910156,0.04798997062855441,False,0,False,0,,False,False,False,False,103,44,"<think>
Okay, let's see. The problem is about a pizza that's cut into 10 equal slices. Three people each eat 3 slices. We need to find out what fraction of the pizza remains.

"
2hop_fractions_0032,error_standard,1,2,wrong_unit,0.82421875,0.11926746300832747,0.14610713921704246,0.5625,0.8924440546256384,0.06615327597385985,False,0,False,0,,False,False,False,False,105,43,"<think>
Okay, let's see. The problem is about a pizza that's cut into 10 equal slices. Three people each eat 3 slices. The question is asking what fraction of the pizza remains.

"
2hop_fractions_0032,error_verbalized,1,2,wrong_unit,0.63671875,0.06674945604988057,0.08764652859588135,0.6796875,0.9471487345634886,0.03094539892193344,False,0,False,0,,False,False,False,False,170,45,"<think>
Okay, let's see. The problem says a pizza is cut into 10 equal slices. Then 3 people each eat 3 slices. The question is asking for the fraction of the pizza that remains.

"
3hop_multi_stage_geometry_0006,clean,0,3,,0.92578125,0.09571839593709912,0.095783380881403,0.60546875,0.9295770270157093,0.04427406702685756,False,0,False,0,,False,False,False,False,129,64,"<think>
Okay, let's see. The user is trying to figure out the total flooring cost for an office that's 5 meters by 5 meters. They already have 21 tiles, each 1 meter by 1 meter. The remaining area needs to be covered at $25 per square meter.

"
3hop_multi_stage_geometry_0006,error_standard,1,3,wrong_operator,0.7421875,0.08071947820213415,0.08705613388565325,0.5,0.9310018334442053,0.04273933627806942,False,0,False,0,,False,False,False,False,127,61,"<think>
Okay, let's see. The user is trying to figure out the total flooring cost for an office that's 5m by 5m. They already have 21 tiles, each 1m x 1m. The remaining area costs $25 per square meter. 

"
3hop_multi_stage_geometry_0006,error_verbalized,1,3,wrong_operator,1.625,0.2079695672621785,0.04745408560999751,0.333984375,0.8565441594812834,0.10105467705177545,False,0,False,0,,False,False,False,False,192,156,"<think>
Okay, let's see. The office is 5m by 5m, so the total area is 25 square meters. Wait, in the previous step, the user said the total area is 10 m², but that's wrong. Wait, no, the user said in step 1, the office measures 5m ×5m, so the total area should be 5*5=25 m². But in the first step, the assistant answered 10 m², which is incorrect. Wait, but the user is now in step 2, so maybe the assistant made a mistake there. But the user is now asking step 2, which is about the area covered by the 21 tiles.

"
4hop_multi_stage_allocation_0017,clean,0,4,,1.4375,0.3058600739901841,0.19357465256180148,0.322265625,0.7894757275803708,0.18455424347823488,False,0,False,0,,False,True,True,False,142,34,"<think>
Okay, let's see. The user is trying to figure out how much budget remains after each step. The initial budget is $1000. 

"
4hop_multi_stage_allocation_0017,error_standard,1,4,wrong_unit,1.4609375,0.2787711884783401,0.14318938701035222,0.32421875,0.8369928497923251,0.13044665804289599,False,0,False,0,,False,True,True,False,141,34,"<think>
Okay, let's see. The user is trying to figure out how much budget remains after each step. The initial budget is $1000. 

"
4hop_multi_stage_allocation_0017,error_verbalized,1,4,wrong_unit,1.515625,0.1674011112370846,0.11850311318307831,0.453125,0.8933920264734888,0.07261453316530897,False,0,False,0,,True,True,True,False,206,164,"<think>
Okay, let's see. The user is asking about the remaining budget after spending 30% on equipment. The previous step was after spending 25% on salaries, which left $7500. Wait, no, wait. Wait, the initial budget is $1000. Wait, the first step was spending 25% on salaries. So 25% of $1000 is $250, so the remainder would be $1000 - $250 = $750. But the user's answer said $7500, which is wrong. Oh, that's a mistake. So the user made an error here. But the assistant's confidence was 10/10, which is incorrect.

"
3hop_compound_rate_0007,clean,0,3,,0.77734375,0.13817067597034283,0.11810969085636316,0.65234375,0.9172473771179274,0.04929033594662227,False,0,False,0,,False,False,False,False,151,50,"<think>
Okay, let's see. The user is asking about the second leg of the tram trip. The second leg is 120 km at 60 km/h. So, I need to calculate the time taken for that part.

"
3hop_compound_rate_0007,error_standard,1,3,wrong_unit,1.03125,0.12410763950383431,0.11731867454582243,0.66796875,0.926274437742568,0.04552286682160273,False,0,False,0,,False,False,False,False,142,47,"<think>
Okay, let's see. The user is asking about the second leg of the tram trip. The second leg is 120 km at 60 km/h. I need to calculate how many minutes that takes.

"
3hop_compound_rate_0007,error_verbalized,1,3,wrong_unit,0.67578125,0.07410262641755912,0.0809797665790029,0.62109375,0.934807290688649,0.03956857376496365,False,0,False,0,,False,False,False,False,207,47,"<think>
Okay, let's see. The user is asking about the second leg of the tram trip. The second leg is 120 km at 60 km/h. I need to calculate the time taken for that.

"
2hop_fractions_0005,clean,0,2,,0.69140625,0.09144712685817542,0.11720750980361458,0.5,0.9200124211594242,0.04888346526902979,False,0,False,0,,False,False,False,False,106,48,"<think>
Okay, let's see. The problem is about a flatbread that's cut into 16 equal slices. Two people each eat 1 slice. The question is asking for the fraction of the flatbread that remains. 

"
2hop_fractions_0005,error_standard,1,2,off_by_one,0.7265625,0.09373876901501059,0.12032670730309007,0.5625,0.9207868428393119,0.04747498450392135,False,0,False,0,,False,False,False,False,106,48,"<think>
Okay, let's see. The problem is about a flatbread that's cut into 16 equal slices. Two people each eat 1 slice. The question is asking for the fraction of the flatbread that remains. 

"
2hop_fractions_0005,error_verbalized,1,2,off_by_one,0.75390625,0.09651087427532716,0.12835832306011455,0.5,0.9296126647151846,0.04310683807194202,False,0,False,0,,False,False,False,False,171,90,"<think>
Okay, let's see. The problem says there are 16 slices of flatbread. Two people each eat 1 slice. So first, I need to figure out how many slices are eaten in total. Wait, the user already did that in step 1, right? They said 2 people each eat 1 slice, so 2 × 1 = 3 slices eaten. So total slices eaten are 3.

"
4hop_nested_fractions_0019,clean,0,4,,1.0703125,0.11817400406277057,0.13856564245679692,0.443359375,0.9174273211268855,0.05474816455846923,False,0,False,0,,False,False,False,False,147,67,"<think>
Okay, let's see. The user is trying to figure out how many widgets are shipped by air. They've already done the first step, which was calculating how many widgets pass quality control. The answer was 1600. Now, step 2 is asking how many of those passing widgets are premium quality.

"
4hop_nested_fractions_0019,error_standard,1,4,wrong_percentage_base,1.0703125,0.13179254607410854,0.13401326795647037,0.478515625,0.9091476404011718,0.062154890971078174,False,0,False,0,,False,False,False,False,149,112,"<think>
Okay, let's see. The user is trying to figure out how many widgets are shipped by air. They've already done the first step, which was calculating how many widgets pass quality control. The answer was 1600, right? Wait, no, the original question said the plant produces 2000 widgets per day. Then 4/5 pass quality control. So 2000 times 4/5 is 1600. So that's 1600 widgets passing quality control.

"
4hop_nested_fractions_0019,error_verbalized,1,4,wrong_percentage_base,0.88671875,0.10019180197499641,0.08130430404289654,0.498046875,0.9272772898910251,0.04509304872775498,False,0,False,0,,False,False,False,False,214,82,"<think>
Okay, let's see. The problem is about calculating how many widgets are shipped by air. The user has already taken steps 1 and 2. Step 1 was about finding how many widgets pass quality control, which was 2000 × 4/5 = 1600. Then step 2 is about finding how many of those passing widgets are premium quality.

"
2hop_rate_distance_0038,clean,0,2,,1.546875,0.20671620641892052,0.17950791301263963,0.318359375,0.8657522108249173,0.10316070644227154,False,0,False,0,,False,False,False,False,105,49,"<think>
Okay, so the user is asking about converting the travel time from hours to minutes. Let me think. The previous step was calculating the time in hours, which was 3 hours. Now, they need to convert that into minutes.

"
2hop_rate_distance_0038,error_standard,1,2,magnitude_error,1.0703125,0.18535971648137395,0.2644797069195192,0.44921875,0.8858343542692637,0.07519273549878422,False,0,False,0,,False,False,False,False,107,45,"<think>
Okay, let's see. The user is asking about converting hours to minutes. The previous step was calculating the time in hours, which was 30 hours. Now, they need to convert that into minutes.

"
2hop_rate_distance_0038,error_verbalized,1,2,magnitude_error,1.046875,0.13031432044623437,0.07588125758071981,0.48046875,0.9120007745720574,0.05595317998835849,False,0,False,0,,False,False,False,False,172,46,"<think>
Okay, let's see. The user is asking about converting the travel time from hours to minutes. In the previous step, the answer was 30 hours. So now, I need to convert that into minutes.

"
