condition,amount_scale_factor,amount_scale_factor_text,base_x_now,base_x_now_text,base_y_later,base_y_later_text,x_now,x_now_text,y_later,y_later_text,amount_multiplier,amount_multiplier_text,t_delay,time_delay_format,repeat_idx,user_pov,prompt_format,prompt,response,response_for_parse,thinking_trace_removed_for_parse,choice,intervention_type,projection_layer,projection_scale,projection_applied,projection_center_mode,projection_center_key,projection_center_norm,projection_vector_norm,probe_train_regime,probe_feature_name,vector_key,probe_artifact_path,projection_diag_forward_calls,projection_diag_target_vector_count,projection_diag_pre_projection_raw_cosine_mean,projection_diag_pre_projection_centered_cosine_mean,projection_diag_pre_projection_centered_abs_cosine_mean,projection_diag_pre_projection_abs_coeff_mean,projection_diag_pre_projection_raw_norm_mean,projection_diag_pre_projection_centered_norm_mean,projection_diag_removed_norm_mean,projection_diag_removed_norm_max,projection_diag_removed_fraction_of_centered_norm_mean,projection_diag_removed_fraction_of_centered_norm_max,projection_diag_prompt_centered_cosine_mean,projection_diag_decode_centered_cosine_mean,projection_diag_prompt_abs_coeff_mean,projection_diag_decode_abs_coeff_mean
baseline,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,1 hour,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 1 hour. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,none,40,0.0,False,train_mean,wmm_mean_train,143.02804565429688,1.0,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz,5,5,-0.058264706283807755,-0.11300772428512573,0.11300772428512573,22.824923706054687,229.7186767578125,202.29972229003906,0.0,0.0,0.0,0.0,-0.0928713008761406,-0.11804183013737202,17.624771118164062,24.124961853027344
baseline,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,8 hours,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 8 hours. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,none,40,0.0,False,train_mean,wmm_mean_train,143.02804565429688,1.0,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz,5,5,-0.06095577999949455,-0.11641812175512314,0.11641812175512314,23.38756866455078,228.77022705078124,201.57572021484376,0.0,0.0,0.0,0.0,-0.0973869115114212,-0.12117592431604862,18.359834671020508,24.64450216293335
baseline,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,1 day,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 1 day. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,none,40,0.0,False,train_mean,wmm_mean_train,143.02804565429688,1.0,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz,5,5,-0.059965289384126666,-0.11560560017824173,0.11560560017824173,23.203234481811524,229.96283874511718,201.55282592773438,0.0,0.0,0.0,0.0,-0.09389122575521469,-0.12103419378399849,17.84623908996582,24.54248332977295
baseline,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,2 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 2 days. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,none,40,0.0,False,train_mean,wmm_mean_train,143.02804565429688,1.0,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz,5,5,-0.061350221186876296,-0.11693011522293091,0.11693011522293091,23.5071044921875,229.00737609863282,201.51734619140626,0.0,0.0,0.0,0.0,-0.09675133228302002,-0.12197481095790863,18.26517105102539,24.817587852478027
baseline,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,7 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 7 days. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,none,40,0.0,False,train_mean,wmm_mean_train,143.02804565429688,1.0,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz,5,5,-0.05929581671953201,-0.11425315737724304,0.11425315737724304,23.087989807128906,228.98905334472656,202.00278015136718,0.0,0.0,0.0,0.0,-0.09647577255964279,-0.1186975035816431,18.11894416809082,24.330251216888428
baseline,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,30 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 30 days. What should I choose? Answer in just a few words.,Take the money now.,Take the money now.,False,x_now,none,40,0.0,False,train_mean,wmm_mean_train,143.02804565429688,1.0,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz,6,6,-0.05034460686147213,-0.10085621848702431,0.10085621848702431,21.562954902648926,239.42532348632812,215.39178466796875,0.0,0.0,0.0,0.0,-0.09238437563180923,-0.10255058705806733,17.29090118408203,22.417365646362306
baseline,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,90 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 90 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,none,40,0.0,False,train_mean,wmm_mean_train,143.02804565429688,1.0,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz,9,9,-0.042524295652078256,-0.0940450272626347,0.0940450272626347,19.38057041168213,229.16539679633246,205.98627726236978,0.0,0.0,0.0,0.0,-0.09492792189121246,-0.09393466543406248,17.606401443481445,19.602341532707214
baseline,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,365 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 365 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,none,40,0.0,False,train_mean,wmm_mean_train,143.02804565429688,1.0,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz,9,9,-0.03690847112900681,-0.08803608289195432,0.08803608289195432,18.115535656611126,228.64618089463977,204.75602043999567,0.0,0.0,0.0,0.0,-0.09314050525426865,-0.08739803009666502,17.34473991394043,18.21188512444496
baseline,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,730 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 730 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,none,40,0.0,False,train_mean,wmm_mean_train,143.02804565429688,1.0,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz,9,9,-0.038268733148773514,-0.08924677843848865,0.08924677843848865,18.370501942104763,228.43641662597656,205.60474310980902,0.0,0.0,0.0,0.0,-0.09506652504205704,-0.08851931011304259,17.562536239624023,18.471497654914856
baseline,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,1095 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 1095 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,none,40,0.0,False,train_mean,wmm_mean_train,143.02804565429688,1.0,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz,9,9,-0.0357062311636077,-0.08669976455469926,0.08669976455469926,17.76570389005873,227.76122368706598,204.2650638156467,0.0,0.0,0.0,0.0,-0.09592646360397339,-0.08554642717354,17.733795166015625,17.769692480564117
