x_now,y_later,t_delay,repeat_idx,prompt,response,response_for_parse,thinking_trace_removed_for_parse,choice,generation_mode_tag,do_sample,temperature,time_delay_format,user_pov,prompt_format
100,100,tomorrow,1,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,tomorrow,2,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,tomorrow,3,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,tomorrow,4,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,tomorrow,5,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,tomorrow,6,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,tomorrow,7,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,tomorrow,8,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,tomorrow,9,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,tomorrow,10,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,week,1,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,week,2,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,week,3,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,week,4,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,week,5,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,week,6,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,week,7,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,week,8,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,week,9,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,week,10,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,month,1,What would you prefer 100$ now or 100$ in month? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,month,2,What would you prefer 100$ now or 100$ in month? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,month,3,What would you prefer 100$ now or 100$ in month? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,month,4,What would you prefer 100$ now or 100$ in month? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,month,5,What would you prefer 100$ now or 100$ in month? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,month,6,What would you prefer 100$ now or 100$ in month? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
100,100,month,7,What would you prefer 100$ now or 100$ in month? Answer in just a few words.,100$ now.,100$ now.,False,x_now,stochastic_temp0_7_n10,True,0.7,default,False,direct_time_utility_question
