evidence_share,question_share,evidence_tokens,session,arm,distance,filler_turns,context_fill,ctx_tokens,pathology,gold,pred,correct,mean_entropy,parsed,response
0.014063264076997126,0.2779966422656019,375,0,local,0,21,0.5364,2197,Acute pulmonary edema,D,B,False,0.2737551797181368,True,B
0.007600975775858387,0.25058763148263097,375,0,back_2,2,21,0.5364,2197,Acute pulmonary edema,D,B,False,0.0364324672264047,True,B
0.006584209803674769,0.2360887942735904,375,0,back_5,5,21,0.5364,2197,Acute pulmonary edema,D,B,False,0.000546366223716177,True,B
0.009376610478544276,0.23513225412794522,375,0,back_10,10,21,0.5364,2197,Acute pulmonary edema,D,B,False,0.0005691057522199117,True,B
0.006742866532087126,0.21605832086476898,375,0,back_20,20,21,0.5364,2197,Acute pulmonary edema,D,B,False,0.0006873991123939049,True,B
0.015998700367552892,0.2834526249207556,375,0,local,0,21,0.5354,2193,Acute pulmonary edema,C,A,False,0.11368373195284676,True,A) Pulmonary embolism
0.009158718669953356,0.24871549189889006,375,0,back_2,2,21,0.5354,2193,Acute pulmonary edema,C,A,False,0.16767580015584826,True,A
0.009148555209061928,0.24432551400137267,375,0,back_5,5,21,0.5354,2193,Acute pulmonary edema,C,A,False,0.02206624351674691,True,A
0.012432093087617042,0.2416828205043982,375,0,back_10,10,21,0.5354,2193,Acute pulmonary edema,C,A,False,0.04817820154130459,True,A
0.007407011742803401,0.24424729898705014,375,0,back_20,20,21,0.5354,2193,Acute pulmonary edema,C,A,False,0.046103763626888394,True,A
0.012019287453897829,0.26688097407376127,256,0,local,0,21,0.5076,2079,Chronic rhinosinusitis,B,B,True,0.662779301404953,True,B
0.006455679954212558,0.24083393394747482,256,0,back_2,2,21,0.5076,2079,Chronic rhinosinusitis,B,B,True,0.3702220171689987,True,B
0.0061807170168322045,0.23904903918238624,256,0,back_5,5,21,0.5076,2079,Chronic rhinosinusitis,B,B,True,0.20537024829536676,True,B
0.00976577978300546,0.23934832464770547,256,0,back_10,10,21,0.5076,2079,Chronic rhinosinusitis,B,B,True,0.36354232020676136,True,B
0.006880852455131909,0.23319591186009347,256,0,back_20,20,21,0.5076,2079,Chronic rhinosinusitis,B,B,True,0.1324329162016511,True,B
0.016911545510603383,0.25886134390852283,200,0,local,0,21,0.4915,2013,URTI,E,E,True,0.13133483238583685,True,E) URTI
0.009911047431939681,0.23476937699264713,200,0,back_2,2,21,0.4915,2013,URTI,E,E,True,0.06375676684547216,True,E
